DATE,CASES,DEATHS,CASES_CF,DEATHS_CF
03/24/2020,132,1,730,5
03/25/2020,219,0,949,5
03/26/2020,200,4,1149,9
03/27/2020,340,3,1489,12
03/28/2020,393,3,1882,15
03/29/2020,93,0,1975,15
03/30/2020,192,1,2167,16
03/31/2020,444,10,2611,26
04/01/2020,512,14,3123,40
04/02/2020,304,3,3427,43
04/03/2020,409,17,3836,60
04/04/2020,563,22,4399,82
04/05/2020,281,16,4680,98
04/06/2020,363,20,5043,118
04/07/2020,468,22,5511,140
04/08/2020,588,37,6099,177
04/09/2020,520,19,6619,196
04/10/2020,659,16,7278,212
04/11/2020,497,46,7775,258
04/12/2020,809,19,8584,277
04/13/2020,529,31,9113,308
04/14/2020,553,39,9666,347
04/15/2020,598,39,10264,386
04/16/2020,457,34,10721,420
04/17/2020,662,41,11383,461
04/18/2020,652,27,12035,488
04/19/2020,536,12,12571,500
04/20/2020,429,38,13000,538
04/21/2020,612,55,13612,593
04/22/2020,794,34,14406,627
04/23/2020,993,34,15399,661
04/24/2020,801,36,16200,697
04/25/2020,1103,36,17303,733
04/26/2020,624,28,17927,761
04/27/2020,752,12,18679,773
04/28/2020,945,53,19624,826
04/29/2020,875,47,20499,873
04/30/2020,1007,59,21506,932
05/01/2020,1238,30,22744,962
05/02/2020,1143,25,23887,987
05/03/2020,1093,27,24980,1014
05/04/2020,829,40,25809,1054
05/05/2020,802,42,26611,1096
05/06/2020,957,56,27568,1152
05/07/2020,999,54,28567,1206
05/08/2020,1098,62,29665,1268