Date,Days,Price(2020),Change in 2019,% Change in 2019,Price (2019),Change in 2020,% Change in 2020
2020-04-01,1,137.00,-9.12,-6.24,72.76,0.29,0.40
2020-04-02,2,121.93,-15.07,-11.00,75.50,2.74,0.40
2020-04-03,3,128.20,6.27,5.14,79.18,3.68,3.63
2020-04-06,4,122.94,-5.26,-4.10,78.24,-0.94,4.65
2020-04-07,5,113.75,-9.19,-7.48,73.33,-4.91,-1.20
2020-04-08,6,117.81,4.06,3.57,77.68,4.35,-6.70
2020-04-09,7,124.51,6.70,5.69,75.21,-2.47,5.60
2020-04-13,8,135.92,11.41,9.16,79.63,4.42,-3.28
2020-04-14,9,141.89,5.97,4.39,72.54,-7.09,5.55
2020-04-15,10,151.56,9.67,6.82,73.14,0.60,-9.77
2020-04-16,11,150.26,-1.30,-0.86,79.76,6.62,0.82
2020-04-17,12,150.06,-0.20,-0.13,83.40,3.64,8.30
2020-04-20,13,148.99,-1.07,-0.71,89.98,6.58,4.36
2020-04-21,14,143.27,-5.72,-3.84,84.67,-5.31,7.31
2020-04-22,15,150.25,6.98,4.87,85.44,0.77,-6.27
2020-04-23,16,169.09,18.84,12.54,82.43,-3.01,0.90
2020-04-24,17,158.80,-10.29,-6.09,78.76,-3.67,-3.65
2020-04-27,18,164.60,5.80,3.65,76.25,-2.51,-4.66
2020-04-28,19,156.72,-7.88,-4.79,77.77,1.52,-3.29
2020-04-29,20,146.48,-10.24,-6.53,75.77,-2.00,1.95
2020-04-30,21,135.17,-11.31,-7.72,80.42,4.65,-2.64